timestamp,x,y,z,qw,qx,qy,qz
500.075,-0.953284566,3.204975612,1.102339697,0.766537688,0.617450834,-0.025670396,-0.17468678
500.209,-0.958229881,3.213806241,1.107327457,0.768975252,0.615351688,-0.034394595,-0.169812757
500.309,-0.960795588,3.212570345,1.108079799,0.767735244,0.616185536,-0.037493039,-0.171733087
500.442,-0.954273861,3.199536526,1.106385351,0.766065211,0.617368778,-0.035382483,-0.175350973
500.542,-0.964261394,3.204642628,1.110261767,0.76410443,0.618806345,-0.048184626,-0.175787852
500.642,-0.956623788,3.201203686,1.102570833,0.765926033,0.616395266,-0.032840444,-0.179821278
500.709,-0.958498319,3.207206546,1.106911434,0.766636028,0.618200996,-0.032821235,-0.170351094
500.809,-0.960634116,3.216086278,1.105073819,0.764930772,0.620362389,-0.032173635,-0.170282937
500.909,-0.952634529,3.193284583,1.105607001,0.764520796,0.615851781,-0.037812135,-0.18656039
501.043,-0.957224623,3.201178851,1.105386918,0.76695445,0.614554349,-0.03137575,-0.181987324
501.143,-0.961111582,3.202384945,1.105956372,0.765270676,0.615621443,-0.034509112,-0.18487875
501.209,-0.968984509,3.203281685,1.105106956,0.762198217,0.618847648,-0.039265415,-0.185848578
501.276,-0.968342998,3.215332797,1.101357052,0.768715554,0.612494572,-0.027768273,-0.182087119
501.376,-0.966751098,3.198632005,1.107549549,0.765150367,0.614909558,-0.039460256,-0.186745922
501.51,-0.966656375,3.191538396,1.100590573,0.762085768,0.614330124,-0.040594634,-0.200439157
501.71,-0.971649846,3.209221941,1.104084617,0.767024433,0.610841071,-0.03877622,-0.192465868
501.743,-0.970157249,3.210985648,1.103361846,0.768474988,0.609920097,-0.035322653,-0.190252405
501.844,-0.963279979,3.202255906,1.112719789,0.767560718,0.610269545,-0.050974202,-0.189270332
501.944,-0.971746201,3.211058226,1.10546418,0.768794463,0.609689435,-0.036660247,-0.189446277
502.077,-0.96911818,3.206848059,1.105846672,0.769956702,0.60647787,-0.041689027,-0.193941471
502.177,-0.959444135,3.203537387,1.104615004,0.768484928,0.610002872,-0.036925535,-0.189641547
502.277,-0.96535917,3.198591863,1.106375414,0.76302468,0.615992284,-0.040729178,-0.19154106
502.378,-0.972908403,3.204395641,1.105663459,0.765962312,0.611520859,-0.041998473,-0.193855883
502.478,-0.977472768,3.204810489,1.113881733,0.763075604,0.614429472,-0.060338932,-0.191183836
502.611,-0.977835969,3.20244738,1.113541925,0.768074894,0.610500089,-0.053974696,-0.185572982
502.711,-0.984376957,3.190428197,1.114042618,0.765867257,0.612017896,-0.060844383,-0.187561724
502.978,-0.973858952,3.194895382,1.107203838,0.764557342,0.617910849,-0.03910812,-0.179189306
503.112,-0.973926642,3.196507118,1.104992709,0.762414658,0.619090672,-0.037667886,-0.184476989
503.245,-0.972709065,3.194015774,1.104814848,0.762798544,0.617662323,-0.038011645,-0.187581318
503.379,-0.978124263,3.210743009,1.106245965,0.767467719,0.613648212,-0.034853729,-0.182248157
503.479,-0.972369511,3.214112582,1.100805006,0.769825825,0.609497218,-0.029207223,-0.187158432
503.612,-0.976670863,3.202189745,1.101776343,0.765676384,0.609178999,-0.042452082,-0.202085236
503.712,-0.976136713,3.201730429,1.100721097,0.765781421,0.606303344,-0.048348511,-0.208895887
503.812,-0.972639601,3.195871867,1.101089411,0.763327589,0.607145426,-0.049038184,-0.215175929
503.912,-0.968298848,3.188966426,1.098117423,0.761357186,0.60974867,-0.045686747,-0.215533097
504.046,-0.973634005,3.179580123,1.093989568,0.760243758,0.612372355,-0.037222389,-0.213644613
504.246,-0.971287823,3.208071668,1.098329188,0.765429628,0.614499458,-0.027876596,-0.189025913
504.346,-0.971916601,3.19618116,1.101834269,0.762695048,0.618536922,-0.028847487,-0.186751607
504.446,-0.966290652,3.187554877,1.099325167,0.761501282,0.619286113,-0.027089706,-0.189384939
504.58,-0.965295995,3.193059528,1.090412101,0.756109281,0.620260984,-0.035921851,-0.205632408
504.68,-0.951699642,3.188383361,1.103570044,0.761675248,0.614413229,-0.046212231,-0.200528377
504.78,-0.958222961,3.201774467,1.094670262,0.761110966,0.614760587,-0.040582639,-0.202811655
504.88,-0.957231449,3.195074311,1.106623278,0.762098283,0.613400173,-0.049369278,-0.201268749
504.98,-0.956334902,3.209568955,1.097133989,0.76575256,0.608370243,-0.036079151,-0.205443321
505.08,-0.943847766,3.205118296,1.098709484,0.763711687,0.605744017,-0.042978227,-0.219024012
505.147,-0.949666617,3.214543273,1.080606604,0.760589843,0.605202013,-0.032877297,-0.232707322
505.247,-0.946425403,3.215354094,1.072575296,0.756969103,0.603495917,-0.02738346,-0.249079509
505.348,-0.927545536,3.195650499,1.097797094,0.750818021,0.60217034,-0.060724501,-0.264529236
505.481,-0.904342988,3.197562799,1.058945962,0.748988911,0.595224676,-0.026057934,-0.289903743
505.581,-0.832462141,3.14185176,1.097929825,0.745869807,0.595302589,-0.080959982,-0.287643078
505.681,-0.796834289,3.198978887,1.040788429,0.739683931,0.614172002,-0.025955065,-0.27383712
505.714,-0.779425462,3.204786934,1.050605653,0.751120532,0.607374847,-0.0398511,-0.255588794
505.814,-0.713216542,3.197795276,1.06224221,0.742248551,0.624375723,-0.041362504,-0.239814905
505.914,-0.695920612,3.187213833,1.073770517,0.753640065,0.613773546,-0.0713287,-0.224100209
506.048,-0.643427648,3.126770778,1.062115015,0.742944896,0.609569822,-0.048074619,-0.272298264
506.148,-0.59968706,3.125225535,1.048311451,0.747425604,0.60306147,-0.027310627,-0.277355293
506.215,-0.57942966,3.111728436,1.036992953,0.746491367,0.596674902,-0.017558761,-0.293975151
506.315,-0.529338542,3.137722459,1.007196442,0.762802996,0.581293991,0.022833126,-0.282325227
506.448,-0.409926963,3.149821186,1.044606383,0.771400156,0.593103775,-0.024621353,-0.229267311
506.582,-0.308545104,3.155623233,1.053794209,0.766565629,0.594365974,-0.041980623,-0.239465765
506.682,-0.226863437,3.165276913,1.06351992,0.762296733,0.600498164,-0.051364427,-0.235939276
506.783,-0.189689068,3.170404016,1.049481645,0.752384328,0.592612268,-0.030451785,-0.286009112
